Year,data
1961,"0,35"
1962,"-0,35"
1963,"-1,15"
1964,"0,70"
1965,"-0,42"
1966,"-0,03"
1967,"-1,55"
1968,"-0,19"
1969,"0,22"
1970,"-0,20"
1971,"-1,11"
1972,"0,61"
1973,"0,23"
1974,"0,71"
1975,"-0,22"
1976,"0,52"
1977,"0,44"
1978,"-0,51"
1979,"0,27"
1980,"1,08"
1981,"-1,04"
1982,"-0,41"
1983,"-0,18"
1984,"-0,93"
1985,"0,41"
1986,"-0,21"
1987,"1,10"
1988,"0,02"
1989,"0,62"
1990,"1,21"
1991,"-0,55"
1992,"0,20"
1993,"-0,13"
1994,"0,80"
1995,"1,49"
1996,"2,02"
1997,"0,53"
1998,"0,41"
1999,"1,17"
2000,"1,92"
2001,"1,63"
2002,"0,67"
2003,"0,27"
2004,"0,63"
2005,"1,93"
2006,"1,67"
2007,"2,36"
2008,"1,91"
2009,"1,42"
2010,"0,67"
2011,"2,34"
2012,"1,10"
2013,"2,44"
2014,"1,40"
2015,"2,17"
2016,"2,58"
2017,"1,48"
2018,"1,59"
2019,"1,54"
2020,"2,12"
2021,"1,06"
2022,"2,64"
2023,"2,18"
2024,"2,86"
2025,"1,76"
2026,"1,51"
2027,"1,46"
2028,"2,67"
2029,"1,94"
2030,"2,01"
2031,"2,55"
2032,"2,53"
2033,"2,44"
2034,"3,05"
2035,"2,80"
2036,"2,44"
2037,"0,53"
2038,"1,59"
2039,"2,88"
2040,"4,02"
2041,"2,47"
2042,"2,76"
2043,"3,17"
2044,"3,76"
2045,"3,11"
2046,"3,67"
2047,"2,90"
2048,"2,62"
2049,"3,31"
2050,"2,08"
2051,"4,35"
2052,"2,98"
2053,"3,84"
2054,"3,51"
2055,"3,23"
2056,"3,56"
2057,"4,16"
2058,"4,70"
2059,"3,27"
2060,"3,05"
2061,"3,85"
2062,"4,14"
2063,"3,92"
2064,"5,84"
2065,"5,00"
2066,"6,09"
2067,"3,66"
2068,"4,45"
2069,"4,42"
2070,"4,63"
2071,"3,55"
2072,"4,87"
2073,"5,19"
2074,"4,42"
2075,"5,39"
2076,"5,44"
2077,"4,09"
2078,"5,60"
2079,"4,22"
2080,"4,30"
2081,"4,73"
2082,"5,10"
2083,"5,02"
2084,"5,54"
2085,"5,88"
2086,"5,88"
2087,"6,67"
2088,"5,93"
2089,"5,70"
2090,"5,14"
2091,"5,43"
2092,"6,28"
2093,"6,63"
2094,"6,05"
2095,"5,94"
2096,"6,76"
2097,"6,11"
2098,"5,93"
2099,"5,49"
2100,"6,68"
